OrderID,Location,Item,Total Amount,Weekday Classification,Meal Time,Order Time,Food Preparation time,Driver Assign Time,Food Delivery Time,Standard Preparation time,Standard Driver Assign Time,Standard Delivery Time,Variance % Preparartion Time,Variance % Assign Time,Variance % Delivery Time,Preparation time,Assign Time,Delivery Time,Overall Remarks,Major Issuses,,
OD0061,Marathahalli,Fish Curry,190,Weekend,Evening,Non-Peak Time,51,2,14,15,2,10,240.00%,0.00%,40.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,Overall
OD1560,BTM Layout,Burger,210,Weekend,Evening,Non-Peak Time,22,3,14,16,2,15,37.50%,50.00%,-6.67%,Slight Delay,Delayed,Before Time,Assign Time,Assign Time,,
OD2049,Marathahalli,Mutton Biryani,1560,Weekend,Night,Peak time,18,2,52,35,2,10,-48.57%,0.00%,420.00%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD1952,Malleswaram,Butter Naan,160,Weekend,Night,Peak time,18,16,11,10,2,10,80.00%,700.00%,10.00%,Delayed,Immediate Attention,Slight Delay,Risk,Assign Time,,
OD0415,Jayanagar,Aloo Paratha,220,Weekend,Night,Non-Peak Time,20,1,24,10,2,12,100.00%,-50.00%,100.00%,Delayed,Way Before Time,Delayed,"Preparation time,Delivery Time","Preparation time,Delivery Time",,
OD1497,Whitefield,Burger,630,Weekend,Evening,Peak time,21,1,33,16,2,15,31.25%,-50.00%,120.00%,Slight Delay,Way Before Time,Delayed,Delivery Time,Delivery Time,,
OD1889,Malleswaram,Chicken Tikka,355,Weekend,Noon,Non-Peak Time,14,2,14,10,2,10,40.00%,0.00%,40.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time","Preparation time,Delivery Time",,
OD1953,Jayanagar,Sushi,1050,Weekend,Evening,Non-Peak Time,14,2,31,26,2,12,-46.15%,0.00%,158.33%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD0757,Malleswaram,Chicken Tikka,355,Weekend,Night,Non-Peak Time,19,6,12,10,2,10,90.00%,200.00%,20.00%,Delayed,Immediate Attention,Slight Delay,Risk,Assign Time,,
OD0338,HSR Layout,Paneer Tikka,180,Weekend,Noon,Non-Peak Time,35,2,12,21,2,20,66.67%,0.00%,-40.00%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD1152,Jayanagar,Chicken Curry,650,Weekday,Night,Peak time,59,2,17,20,2,12,195.00%,0.00%,41.67%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD0218,Jayanagar,Chole Bhature,600,Weekday,Morning,Non-Peak Time,59,6,12,22,2,12,168.18%,200.00%,0.00%,Immediate Attention,Immediate Attention,On Time,Risk,"Preparation time,Assign Time",,
OD1354,Koramangala,Poha,75,Weekday,Noon,Non-Peak Time,21,2,13,15,2,10,40.00%,0.00%,30.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD1758,Marathahalli,Poha,150,Weekday,Morning,Non-Peak Time,60,2,25,15,2,10,300.00%,0.00%,150.00%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD1687,Jayanagar,Ghee Upma,99,Weekday,Morning,Non-Peak Time,34,2,13,18,2,12,88.89%,0.00%,8.33%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD1891,Koramangala,Paneer Tikka,180,Weekend,Noon,Non-Peak Time,47,1,10,21,2,10,123.81%,-50.00%,0.00%,Delayed,Way Before Time,On Time,Preparation time,Preparation time,,
OD1218,Jayanagar,Aloo Paratha,330,Weekend,Morning,Peak time,17,2,32,10,2,12,70.00%,0.00%,166.67%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD0695,MG Road,Noodles,250,Weekday,Evening,Non-Peak Time,28,7,14,10,2,20,180.00%,250.00%,-30.00%,Immediate Attention,Immediate Attention,Way Before Time,Risk,"Preparation time,Assign Time",,
OD1623,Whitefield,Samosa,40,Weekday,Evening,Peak time,12,8,45,10,2,15,20.00%,300.00%,200.00%,Slight Delay,Immediate Attention,Immediate Attention,Risk,"Assign Time,Delivery Time",,
OD1219,Malleswaram,Butter Naan,160,Weekend,Evening,Non-Peak Time,33,2,14,10,2,10,230.00%,0.00%,40.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD1220,BTM Layout,Aloo Paratha,220,Weekend,Morning,Peak time,13,18,30,10,2,15,30.00%,800.00%,100.00%,Slight Delay,Immediate Attention,Delayed,Risk,Assign Time,,
OD0626,Whitefield,Noodles,250,Weekend,Noon,Non-Peak Time,41,2,13,10,2,15,310.00%,0.00%,-13.33%,Immediate Attention,On Time,Way Before Time,Risk,Preparation time,,
OD1689,MG Road,Chicken Curry,650,Weekday,Evening,Non-Peak Time,33,2,13,20,2,20,65.00%,0.00%,-35.00%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD1562,Indiranagar,Hakka Noodles,260,Weekend,Noon,Non-Peak Time,44,2,11,16,2,15,175.00%,0.00%,-26.67%,Immediate Attention,On Time,Way Before Time,Risk,Preparation time,,
OD0957,BTM Layout,Sushi,350,Weekend,Night,Peak time,35,2,45,26,2,15,34.62%,0.00%,200.00%,Slight Delay,On Time,Immediate Attention,Risk,Delivery Time,,
OD1892,Jayanagar,Idli,130,Weekend,Morning,Non-Peak Time,23,2,19,15,2,12,53.33%,0.00%,58.33%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Delivery Time,,
OD1624,MG Road,Puri Bhaji,150,Weekday,Morning,Peak time,47,2,45,15,2,20,213.33%,0.00%,125.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD1356,Malleswaram,Mutton Biryani,780,Weekday,Evening,Non-Peak Time,16,15,32,35,2,10,-54.29%,650.00%,220.00%,Way Before Time,Immediate Attention,Immediate Attention,Risk,"Assign Time,Delivery Time",,
OD1357,Marathahalli,Chole Bhature,200,Weekday,Morning,Peak time,34,11,32,22,2,10,54.55%,450.00%,220.00%,Delayed,Immediate Attention,Immediate Attention,Risk,"Assign Time,Delivery Time",,
OD1153,Marathahalli,Chicken Tikka,355,Weekday,Night,Non-Peak Time,30,2,13,10,2,10,200.00%,0.00%,30.00%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD0760,Jayanagar,Pav Bhaji,300,Weekday,Evening,Non-Peak Time,15,18,50,20,2,12,-25.00%,800.00%,316.67%,Way Before Time,Immediate Attention,Immediate Attention,Risk,"Assign Time,Delivery Time",,
OD0341,BTM Layout,Burger,210,Weekend,Night,Peak time,49,4,12,16,2,15,206.25%,100.00%,-20.00%,Immediate Attention,Delayed,Way Before Time,Risk,Preparation time,,
OD0761,Jayanagar,Chicken Biryani,700,Weekday,Night,Peak time,48,10,33,30,2,12,60.00%,400.00%,175.00%,Delayed,Immediate Attention,Immediate Attention,Risk,"Assign Time,Delivery Time",,
OD1358,Indiranagar,Ghee Upma,99,Weekday,Morning,Peak time,37,2,20,18,2,15,105.56%,0.00%,33.33%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD1690,Whitefield,Idli,130,Weekend,Morning,Non-Peak Time,41,1,10,15,2,15,173.33%,-50.00%,-33.33%,Immediate Attention,Way Before Time,Way Before Time,Risk,Preparation time,,
OD1154,Marathahalli,Puri Bhaji,300,Weekday,Morning,Non-Peak Time,31,2,12,15,2,10,106.67%,0.00%,20.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD2053,Malleswaram,Burger,420,Weekend,Evening,Non-Peak Time,24,5,14,16,2,10,50.00%,150.00%,40.00%,Delayed,Immediate Attention,Delayed,Risk,Assign Time,,
OD2055,Whitefield,Fish Curry,380,Weekday,Night,Non-Peak Time,23,5,14,15,2,15,53.33%,150.00%,-6.67%,Delayed,Immediate Attention,Before Time,Risk,Assign Time,,
OD1020,Koramangala,Poha,75,Weekend,Night,Peak time,50,2,13,15,2,10,233.33%,0.00%,30.00%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD1954,Malleswaram,Samosa,100,Weekend,Evening,Non-Peak Time,17,2,18,10,2,10,70.00%,0.00%,80.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Delivery Time,,
OD1273,Marathahalli,Chicken Curry,650,Weekday,Noon,Non-Peak Time,52,2,28,20,2,10,160.00%,0.00%,180.00%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD0287,Marathahalli,Paneer Tikka,360,Weekday,Evening,Non-Peak Time,46,2,15,21,2,10,119.05%,0.00%,50.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Preparation time,,
