OrderID,Order Date,Location,Order Status,Payment Method,Preparation Start time,Preparation End time,Delivery Start Time,Delivery End Time,Item Quantity,Item,Price of Item,Total Amount,Weekday Classification,Meal Time,Order Time,Stock Out Items,Revenue Loss,Preparation time,Driver Assign Time,Delivery Time,Actual Time,Average Expected Time,Bonus Time,Order Delivery Details
OD0061,11/1/2024,Marathahalli,Delivered,UPI,3:51:48 PM,4:42:48 PM,4:44:48 PM,4:58:48 PM,1,Fish Curry,190,190,Weekend,Evening,Non-Peak Time,0,0,51,2,14,67,27,5,Delayed
OD1951,11/30/2024,BTM Layout,Delivered,UPI,5:46:31 PM,5:56:31 PM,5:58:31 PM,6:11:31 PM,2,Pizza,450,900,Weekend,Evening,Non-Peak Time,0,0,10,2,13,25,43,5,No issuse
OD0896,11/14/2024,BTM Layout,Delivered,Credit Card,10:08:58 PM,10:24:58 PM,10:26:58 PM,10:40:58 PM,1,Chicken Biryani,350,350,Weekday,Night,Non-Peak Time,0,0,16,2,14,32,47,5,No issuse
OD0062,11/1/2024,Marathahalli,Cancelled,Not Required,,,,,0,Chicken Biryani,350,0,Weekend,Morning,Non-Peak Time,4,1400,0,0,0,0,0,0,Cancelled
OD1560,11/24/2024,BTM Layout,Delivered,Credit Card,4:34:43 PM,4:56:43 PM,4:59:43 PM,5:13:43 PM,1,Burger,210,210,Weekend,Evening,Non-Peak Time,0,0,22,3,14,39,33,5,Delayed
OD2049,11/10/2024,Marathahalli,Delivered,Credit Card,9:06:32 PM,9:24:32 PM,9:26:32 PM,10:18:32 PM,4,Mutton Biryani,390,1560,Weekend,Night,Peak time,0,0,18,2,52,72,47,20,Delayed
OD0286,11/8/2024,MG Road,Delivered,UPI,10:58:51 AM,11:08:51 AM,11:10:51 AM,11:27:51 AM,1,Masala Dosa,120,120,Weekend,Morning,Non-Peak Time,0,0,10,2,17,29,34,5,No issuse
OD1952,11/30/2024,Malleswaram,Delivered,Credit Card,9:12:25 PM,9:30:25 PM,9:46:25 PM,9:57:25 PM,4,Butter Naan,40,160,Weekend,Night,Peak time,0,0,18,16,11,45,22,20,Delayed
OD0415,11/10/2024,Jayanagar,Delivered,COD,11:00:27 PM,11:20:27 PM,11:21:27 PM,11:45:27 PM,2,Aloo Paratha,110,220,Weekend,Night,Non-Peak Time,0,0,20,1,24,45,24,5,Delayed
OD1497,11/23/2024,Whitefield,Delivered,Online Payment,6:00:56 PM,6:21:56 PM,6:22:56 PM,6:55:56 PM,3,Burger,210,630,Weekend,Evening,Peak time,0,0,21,1,33,55,33,20,Delayed
OD0217,11/3/2024,BTM Layout,Cancelled,Not Required,,,,,0,Paneer Tikka,180,0,Weekend,Morning,Non-Peak Time,3,540,0,0,0,0,0,0,Cancelled
