OrderID,Order Date,Location,Order Status,Payment Method,Preparation Start time,Preparation End time,Delivery Start Time,Delivery End Time
OD0061,11/1/2024,Marathahalli,Delivered,UPI,3:51:48 PM,4:42:48 PM,4:44:48 PM,4:58:48 PM
OD1951,11/30/2024,BTM Layout,Delivered,UPI,5:46:31 PM,5:56:31 PM,5:58:31 PM,6:11:31 PM
OD0896,11/14/2024,BTM Layout,Delivered,Credit Card,10:08:58 PM,10:24:58 PM,10:26:58 PM,10:40:58 PM
OD0062,11/1/2024,Marathahalli,Cancelled,Not Required,NA,NA,NA,NA
OD1560,11/24/2024,BTM Layout,Delivered,Credit Card,4:34:43 PM,4:56:43 PM,4:59:43 PM,5:13:43 PM
OD2049,11/10/2024,Marathahalli,Delivered,Credit Card,9:06:32 PM,9:24:32 PM,9:26:32 PM,10:18:32 PM
OD0286,11/8/2024,MG Road,Delivered,UPI,10:58:51 AM,11:08:51 AM,11:10:51 AM,11:27:51 AM
OD1952,11/30/2024,Malleswaram,Delivered,Credit Card,9:12:25 PM,9:30:25 PM,9:46:25 PM,9:57:25 PM
OD0415,11/10/2024,Jayanagar,Delivered,COD,11:00:27 PM,11:20:27 PM,11:21:27 PM,11:45:27 PM
OD1497,11/23/2024,Whitefield,Delivered,Online Payment,6:00:56 PM,6:21:56 PM,6:22:56 PM,6:55:56 PM
OD0217,11/3/2024,BTM Layout,Cancelled,Not Required,NA,NA,NA,NA
OD1889,11/29/2024,Malleswaram,Delivered,UPI,1:57:37 PM,2:11:37 PM,2:13:37 PM,2:27:37 PM
OD0756,11/16/2024,Whitefield,Delivered,UPI,3:15:58 PM,3:39:58 PM,3:40:58 PM,3:57:58 PM
OD1953,11/30/2024,Jayanagar,Delivered,COD,3:41:59 PM,3:55:59 PM,3:57:59 PM,4:28:59 PM
OD0757,11/16/2024,Malleswaram,Delivered,Credit Card,10:25:19 PM,10:44:19 PM,10:50:19 PM,11:02:19 PM
OD0758,11/2/2024,Whitefield,Delivered,UPI,8:20:38 AM,8:57:38 AM,8:58:38 AM,9:10:38 AM
OD2050,11/2/2024,Brigade Road,Delivered,UPI,11:03:00 AM,11:14:00 AM,11:16:00 AM,11:27:00 AM
OD0338,11/9/2024,HSR Layout,Delivered,COD,12:59:36 PM,1:34:36 PM,1:36:36 PM,1:48:36 PM
OD1081,11/17/2024,Jayanagar,Delivered,Online Payment,10:15:06 PM,10:40:06 PM,10:42:06 PM,10:59:06 PM
OD1890,11/29/2024,MG Road,Delivered,COD,2:53:41 PM,3:04:41 PM,3:06:41 PM,3:19:41 PM
OD0493,11/8/2024,BTM Layout,Delivered,Online Payment,10:44:54 PM,11:10:54 PM,11:12:54 PM,11:23:54 PM
OD1152,11/18/2024,Jayanagar,Delivered,UPI,9:20:10 PM,10:19:10 PM,10:21:10 PM,10:38:10 PM
OD0218,11/4/2024,Jayanagar,Delivered,COD,11:30:47 AM,12:29:47 PM,12:35:47 PM,12:47:47 PM
OD0285,11/8/2024,MG Road,Cancelled,Not Required,NA,NA,NA,NA
OD1354,11/21/2024,Koramangala,Delivered,UPI,12:25:07 PM,12:46:07 PM,12:48:07 PM,1:01:07 PM
OD1757,11/27/2024,MG Road,Delivered,COD,6:37:33 PM,6:57:33 PM,6:59:33 PM,7:16:33 PM
OD1758,11/27/2024,Marathahalli,Delivered,Online Payment,10:00:21 AM,11:00:21 AM,11:02:21 AM,11:27:21 AM
OD0001,11/1/2024,Koramangala,Delivered,Online Payment,6:39:56 PM,6:53:56 PM,7:05:56 PM,7:32:56 PM
OD0063,11/2/2024,Marathahalli,Delivered,COD,11:09:23 PM,11:23:23 PM,11:25:23 PM,11:36:23 PM
OD1687,11/26/2024,Jayanagar,Delivered,Online Payment,11:37:19 AM,12:11:19 PM,12:13:19 PM,12:26:19 PM
OD1891,11/29/2024,Koramangala,Delivered,UPI,1:52:01 PM,2:39:01 PM,2:40:01 PM,2:50:01 PM
OD1218,11/24/2024,Jayanagar,Delivered,Online Payment,8:26:13 AM,8:43:13 AM,8:45:13 AM,9:17:13 AM
OD2014,11/1/2024,Malleswaram,Delivered,Credit Card,8:17:30 AM,8:45:30 AM,8:47:30 AM,9:01:30 AM
OD1498,11/23/2024,MG Road,Delivered,Credit Card,9:04:50 AM,9:16:50 AM,9:18:50 AM,9:40:50 AM
OD0219,11/4/2024,HSR Layout,Delivered,Online Payment,4:33:38 PM,5:00:38 PM,5:02:38 PM,5:16:38 PM
OD0220,11/4/2024,HSR Layout,Delivered,COD,2:07:51 PM,2:19:51 PM,2:21:51 PM,2:32:51 PM
OD0416,11/15/2024,BTM Layout,Delivered,COD,6:08:00 PM,6:57:00 PM,6:59:00 PM,7:09:00 PM
OD1499,11/16/2024,Indiranagar,Delivered,UPI,8:33:35 AM,8:53:35 AM,8:55:35 AM,9:21:35 AM
OD0494,11/8/2024,Malleswaram,Delivered,Credit Card,9:55:28 PM,10:16:28 PM,10:18:28 PM,10:32:28 PM
OD1019,11/16/2024,Marathahalli,Delivered,COD,10:30:55 PM,10:45:55 PM,10:46:55 PM,11:05:55 PM
OD0695,11/11/2024,MG Road,Delivered,Online Payment,4:50:26 PM,5:18:26 PM,5:25:26 PM,5:39:26 PM
OD1082,11/17/2024,Malleswaram,Delivered,UPI,5:22:19 PM,5:36:19 PM,5:38:19 PM,5:51:19 PM
OD1623,11/25/2024,Whitefield,Delivered,Online Payment,6:48:15 PM,7:00:15 PM,7:08:15 PM,7:53:15 PM
OD1355,11/21/2024,Brigade Road,Delivered,Online Payment,9:34:25 AM,10:16:25 AM,10:22:25 AM,10:33:25 AM
